appid,Title,Type,Price,Rating,Required_Age,Is_Multiplayer,Genre
388660,Project Tarvotan,game,4.99,-1,0,0,Strategy
241620,Inquisitor,game,9.99,64,18,0,Indie
241620,Inquisitor,game,9.99,64,18,0,RPG
57690,Tropico 4: Steam Special Edition,game,14.99,78,0,0,Simulation
57690,Tropico 4: Steam Special Edition,game,14.99,78,0,0,Strategy
296930,Ascendant,game,9.99,-1,0,0,Action
296930,Ascendant,game,9.99,-1,0,0,Adventure
296930,Ascendant,game,9.99,-1,0,0,Indie
296930,Ascendant,game,9.99,-1,0,0,RPG
37010,Ninja Blade,game,9.99,61,0,0,Action
276340,My Riding Stables: Life with Horses,game,3.99,-1,0,0,Casual
2620,Call of Duty®,game,19.99,91,0,1,Action
429280,Gems of the Aztecs,game,5.99,-1,0,0,Casual
350550,Area-X,game,24.99,-1,0,0,Adventure
350550,Area-X,game,24.99,-1,0,0,Casual
350550,Area-X,game,24.99,-1,0,0,Indie
350550,Area-X,game,24.99,-1,0,0,Simulation
7520,Two Worlds II,game,19.99,76,17,1,RPG
48950,Greed Corp,game,9.99,76,0,1,Strategy
341720,Among Ripples,game,0,-1,0,0,Casual
341720,Among Ripples,game,0,-1,0,0,Free to Play
341720,Among Ripples,game,0,-1,0,0,Indie
341720,Among Ripples,game,0,-1,0,0,Simulation
336220,ORBITOR,game,14.99,-1,0,0,Action
336220,ORBITOR,game,14.99,-1,0,0,Adventure
336220,ORBITOR,game,14.99,-1,0,0,Early Access
336220,ORBITOR,game,14.99,-1,0,0,Indie
359140,Kick Ass Commandos,game,5.99,-1,0,0,Action
359140,Kick Ass Commandos,game,5.99,-1,0,0,Adventure
359140,Kick Ass Commandos,game,5.99,-1,0,0,Early Access
359140,Kick Ass Commandos,game,5.99,-1,0,0,Indie
359140,Kick Ass Commandos,game,5.99,-1,0,0,Strategy
1530,Multiwinia,game,9.99,76,0,1,Indie
